"","Row","Estimate %","95% CI","n/N"
"0","specificity","98.0%","96.8%, 98.9%","796 / 812"
"1","sensitivity-all","60.5%","57.4%, 63.5%","608 / 1,005"
"2","sensitivity-stage1","40.2%","33.3%, 47.4%","80 / 199"
"3","sensitivity-stage2","61.8%","57.3%, 66.1%","307 / 497"
"4","sensitivity-stage3","71.5%","66.1%, 76.5%","221 / 309"
"5","sensitivity-stage1-2","55.6%","51.8%, 59.3%","387 / 696"
