"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.4%","98.6%, 99.8%","807 / 812"
"1","sensitivity-all","44.4%","41.3%, 47.5%","446 / 1,005"
"2","sensitivity-stage1","27.6%","21.5%, 34.4%","55 / 199"
"3","sensitivity-stage2","46.9%","42.4%, 51.4%","233 / 497"
"4","sensitivity-stage3","51.1%","45.4%, 56.8%","158 / 309"
"5","sensitivity-stage1-2","41.4%","37.7%, 45.1%","288 / 696"
