"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.4%","98.6%, 99.8%","807 / 812"
"1","sensitivity-all","42.0%","38.9%, 45.1%","422 / 1,005"
"2","sensitivity-stage1","24.6%","18.8%, 31.2%","49 / 199"
"3","sensitivity-stage2","41.0%","36.7%, 45.5%","204 / 497"
"4","sensitivity-stage3","54.7%","49.0%, 60.3%","169 / 309"
"5","sensitivity-stage1-2","36.4%","32.8%, 40.0%","253 / 696"
