"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.0%","98.1%, 99.6%","804 / 812"
"1","sensitivity-all","56.1%","53.0%, 59.2%","564 / 1,005"
"2","sensitivity-stage1","35.7%","29.0%, 42.8%","71 / 199"
"3","sensitivity-stage2","58.6%","54.1%, 62.9%","291 / 497"
"4","sensitivity-stage3","65.4%","59.8%, 70.7%","202 / 309"
"5","sensitivity-stage1-2","52.0%","48.2%, 55.8%","362 / 696"
