"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.0%","98.1%, 99.6%","804 / 812"
"1","sensitivity-all","45.0%","41.9%, 48.1%","452 / 1,005"
"2","sensitivity-stage1","28.1%","22.0%, 34.9%","56 / 199"
"3","sensitivity-stage2","47.3%","42.8%, 51.8%","235 / 497"
"4","sensitivity-stage3","52.1%","46.4%, 57.8%","161 / 309"
"5","sensitivity-stage1-2","41.8%","38.1%, 45.6%","291 / 696"
