"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.4%","98.6%, 99.8%","807 / 812"
"1","sensitivity-all","45.6%","42.5%, 48.7%","458 / 1,005"
"2","sensitivity-stage1","25.1%","19.3%, 31.7%","50 / 199"
"3","sensitivity-stage2","48.5%","44.0%, 53.0%","241 / 497"
"4","sensitivity-stage3","54.0%","48.3%, 59.7%","167 / 309"
"5","sensitivity-stage1-2","41.8%","38.1%, 45.6%","291 / 696"
