"","Row","Estimate %","95% CI","n/N"
"0","specificity","98.5%","97.4%, 99.2%","800 / 812"
"1","sensitivity-all","59.1%","56.0%, 62.2%","594 / 1,005"
"2","sensitivity-stage1","39.2%","32.4%, 46.3%","78 / 199"
"3","sensitivity-stage2","60.4%","55.9%, 64.7%","300 / 497"
"4","sensitivity-stage3","69.9%","64.5%, 75.0%","216 / 309"
"5","sensitivity-stage1-2","54.3%","50.5%, 58.1%","378 / 696"
