"","Row","Estimate %","95% CI","n/N"
"0","specificity","98.5%","97.4%, 99.2%","800 / 812"
"1","sensitivity-all","56.1%","53.0%, 59.2%","564 / 1,005"
"2","sensitivity-stage1","34.2%","27.6%, 41.2%","68 / 199"
"3","sensitivity-stage2","58.1%","53.7%, 62.5%","289 / 497"
"4","sensitivity-stage3","67.0%","61.4%, 72.2%","207 / 309"
"5","sensitivity-stage1-2","51.3%","47.5%, 55.1%","357 / 696"
