"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.4%","98.6%, 99.8%","807 / 812"
"1","sensitivity-all","44.6%","41.5%, 47.7%","448 / 1,005"
"2","sensitivity-stage1","28.6%","22.5%, 35.5%","57 / 199"
"3","sensitivity-stage2","45.5%","41.0%, 50.0%","226 / 497"
"4","sensitivity-stage3","53.4%","47.7%, 59.1%","165 / 309"
"5","sensitivity-stage1-2","40.7%","37.0%, 44.4%","283 / 696"
