"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.0%","98.1%, 99.6%","804 / 812"
"1","sensitivity-all","57.2%","54.1%, 60.3%","575 / 1,005"
"2","sensitivity-stage1","36.7%","30.0%, 43.8%","73 / 199"
"3","sensitivity-stage2","59.6%","55.1%, 63.9%","296 / 497"
"4","sensitivity-stage3","66.7%","61.1%, 71.9%","206 / 309"
"5","sensitivity-stage1-2","53.0%","49.2%, 56.8%","369 / 696"
