"","Row","Estimate %","95% CI","n/N"
"0","specificity","98.5%","97.4%, 99.2%","800 / 812"
"1","sensitivity-all","52.0%","48.9%, 55.2%","523 / 1,005"
"2","sensitivity-stage1","32.7%","26.2%, 39.7%","65 / 199"
"3","sensitivity-stage2","53.1%","48.6%, 57.6%","264 / 497"
"4","sensitivity-stage3","62.8%","57.1%, 68.2%","194 / 309"
"5","sensitivity-stage1-2","47.3%","43.5%, 51.1%","329 / 696"
