"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.0%","98.1%, 99.6%","804 / 812"
"1","sensitivity-all","45.3%","42.2%, 48.4%","455 / 1,005"
"2","sensitivity-stage1","27.6%","21.5%, 34.4%","55 / 199"
"3","sensitivity-stage2","44.5%","40.0%, 49.0%","221 / 497"
"4","sensitivity-stage3","57.9%","52.2%, 63.5%","179 / 309"
"5","sensitivity-stage1-2","39.7%","36.0%, 43.4%","276 / 696"
