"","Row","Estimate %","95% CI","n/N"
"0","specificity","99.0%","98.1%, 99.6%","804 / 812"
"1","sensitivity-all","48.7%","45.5%, 51.8%","489 / 1,005"
"2","sensitivity-stage1","32.2%","25.7%, 39.1%","64 / 199"
"3","sensitivity-stage2","48.3%","43.8%, 52.8%","240 / 497"
"4","sensitivity-stage3","59.9%","54.2%, 65.4%","185 / 309"
"5","sensitivity-stage1-2","43.7%","40.0%, 47.5%","304 / 696"
